c1,c2,c3,c4,c5,err,k1,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k2,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k3,k30,k31,k4,k5,k6,k7,k8,k9,n_pos,n_real,n_real_library,n_solutions,ok,trial
8.285299084095385,8.121218274251634,3.0033561741521253,2.442420466192108,7.71954435618955,,0.9913970137863681,3.931891799217675,1.7773262714977278,8.441567419329088,8.222970067996656,9.794215255648107,9.819583226305431,9.82920141544912,5.237241913656492,5.807966459998328,1.257606852986286,7.019797138879542,1.4972313883735011,8.482254387183607,6.269704740748798,9.660528365517036,8.655109512684305,8.252632298989461,2.5152460069998273,4.561033901139977,8.995039999227307,6.565703548450492,5.0326178584185595,2.666791777376636,2.314349506594935,8.7584120530704,9.534654118744877,5.07810571056071,7.8975116356244035,0.7125413261100788,1.3837807897217225,1,9,9,9,true,1
3.4812232874171234,3.938049158968997,1.8425454742159397,5.036021954489279,5.434886273358863,,8.426218370481617,6.4998690091362255,1.3167067492229867,1.2318877197601252,1.9319307029658295,9.285029082227492,3.7858565883918294,2.5984947956264226,7.167867297426689,0.10898739765043075,8.47785926801192,8.176189015392971,3.5360999557112827,9.858458165854893,7.365713555150473,0.1992039852101013,7.072355934304049,4.2865723684624975,6.259556692908648,1.2636383044398292,9.470107466774845,7.947915455253163,8.75147818630985,7.8354152919991,6.64144341714546,8.722121647535854,4.707715605583087,4.574787799446105,3.931968187864505,9.505129878297357,7.835752622358207,1,5,5,9,true,2
0.7111510300226564,9.278034391338332,3.457366887562756,7.6534120340016525,3.3078576899782797,,2.1275144999693785,3.6343152497390396,9.43908625243199,1.9502900612795049,2.9075900779237585,4.454462777507819,2.3947391709028465,0.7859839643231115,7.801761111104253,2.748063282106459,8.487369607977676,8.842487976012476,6.1680928138711995,0.5665730912653899,1.5622563304879633,3.690767228785501,7.007597765092129,7.943901471209099,4.648225457031168,6.859072330642508,8.669884288310023,9.678179466896868,8.1936025904072,5.623453714649543,6.744638756669108,3.5084318413318605,1.7858107530782275,0.31023219989021467,0.767753298108198,2.1514711709923717,0.2732038625897171,1,9,9,9,true,3
2.4613103378845436,5.989210795066311,9.208311132464814,0.8084195331378585,4.440869860043075,,6.227235533684084,7.432092037484255,9.224107192212006,7.850042062140037,6.133819624604488,7.254938660511947,2.3520059313111896,2.111967383502975,1.7958097666117623,1.1682959503827228,0.11050106685065897,3.131072581673351,6.329579744696321,6.230807214257519,8.37266380095899,2.5431537655759207,3.4259820802304275,6.908751238503212,4.702256191151404,7.007142458910234,6.204504284136982,3.1314135863614667,1.2830560384769618,3.7757342348449763,6.6826233686477465,1.0173100673865765,0.7891167061304705,1.4890998725789228,6.8440075547275985,8.262374657252924,7.501399411894727,1,7,7,9,true,4
3.270569228440934,5.186020667213702,8.022300913475748,8.467201090731407,3.4027924067803106,,4.658608798031183,4.709521356396622,1.7293715219358896,2.045395461036972,7.319972209646986,5.606065266466542,8.3185957951597,6.025231348002706,8.421312676765531,1.2438398918063642,9.687120358506345,7.667061779835425,4.803244765066523,0.4164262999256829,7.616552296935206,3.351272859692813,0.4485232682823659,4.174197841269991,5.644348199317955,0.9203877369667657,1.3780379538633758,0.9733764923148214,1.4948320255567493,6.295401626440789,4.973013454295014,6.668857174229523,8.802807962868798,7.118037281471565,2.5648116304813784,3.8521263878047307,0.2779910121768392,1,9,9,9,true,5
6.429880089688176,4.489830961894721,3.9219079719164207,1.850525187833969,1.4929850301087488,,5.989182602828789,0.4183817274747881,0.14463814325218927,4.225398594780449,5.381635009641501,7.650117040708963,2.774238915740479,6.020183753580152,1.9813462915728208,9.060507365183767,3.1102341421350332,2.184044545443522,2.1085230265206945,6.040360118016743,1.3003903435993847,9.360617220250873,3.3903362019348204,8.614439454025023,2.4089255601188264,1.795900233216361,4.805488519243402,4.075296656444589,8.245602243668609,9.083254600375462,7.604082635863567,0.19253954408153806,3.776242850395435,9.497892154416583,0.7928102389382796,3.655631550114684,4.592275981310099,1,9,9,9,true,6
7.502579772764331,6.010478431647471,8.200745916097942,1.7120347310897621,9.920706877757834,,0.3842447896090606,2.7045068720080234,3.5361261879968753,0.42813017436590606,4.260745001134973,4.530097418129689,3.6916156818414847,9.469300663007388,1.6324418250986517,3.8250386826225258,0.5857620860129575,8.79824919275668,3.84431275714775,5.082030572098368,6.911361155200808,1.6708103964208543,1.9232224445968593,7.68276927689886,5.010744780710681,6.338108478026454,4.864638864613074,3.0934809916791095,7.155492874121587,6.864864352180586,0.8095163901872438,4.677265239875283,5.426997007149634,1.795310212203196,4.869170734797892,7.228235234140071,3.600658373825476,1,9,9,9,true,7
8.510749692646595,2.6886317569273266,8.047967352628682,9.312274942272369,7.30582692923611,,6.490423438862973,9.964195995899347,7.577399255768711,8.132786682913002,8.082706127400707,5.136609646629864,5.876846997780141,0.8818305080162014,7.0522366423859655,9.741613688015407,8.259645685770678,8.506752777191469,0.825968555708454,0.4415728596845203,4.27058938069308,0.29195329105431655,3.8107254370091503,7.811431300739948,8.850396063783492,7.712786067115623,5.031983933866442,2.966710745249934,0.6763507501728871,7.781759793787972,1.1916315015493906,9.908311135995419,4.308093120611427,7.314539134084484,9.663900617089363,9.773140318481932,9.417855403148447,1,5,5,9,true,8
8.904580637585264,7.053842074161554,5.818885045307698,4.974993011951822,5.261815528926266,,6.051811958964777,6.433232662256749,0.1564080231764775,7.597002330363109,1.8888663459164068,7.21109393198363,9.60610946877164,3.916978412448524,7.776869555218098,1.7308313359868444,8.725785208940309,0.14198638493218896,7.852131494675511,6.506585262830287,0.4488369034570949,1.6014109448281677,0.6178691270084924,7.15770766025595,0.7912348489073384,5.750509685155416,8.39591706199406,5.507472654022054,2.975363285761845,7.657307783898681,5.564107728775323,5.469523195412382,0.0029034896797019982,8.52444923575952,6.943548541644549,7.943074109379764,3.301520653950325,1,9,9,9,true,9
7.274521360603727,5.123502655260744,6.63921207110813,8.120423733308634,0.31998039069503603,,5.5509426888677105,5.459658686831947,6.96552887191684,3.1927868878627907,8.192441705913291,4.484006084318892,1.5923049403890643,5.772285342451136,7.995467854016036,7.342388442942096,1.2067977886339998,0.536000986927534,4.359953478549439,3.457315347308263,9.9438901657625,8.390468362650367,5.000534550616324,3.805156876869993,6.495568222120866,5.75926148091254,0.9930360519999271,5.500922672550567,6.774636279417406,4.129703990289785,3.5249351285583996,5.184529445894215,0.2981669252342134,7.018867716654473,2.6806399823783056,0.5767288250947677,8.19931132386966,1,9,9,9,true,10
