c1,c2,c3,c4,c5,err,k1,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k2,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k3,k30,k31,k4,k5,k6,k7,k8,k9,n_real,n_solutions,ok,trial,n_pos
0.6570598168190771,0.6242436548503267,-0.399328765,-0.511515907,0.5439088712379099,,-0.801720597,-0.21362164,-0.644534746,0.6883134838658176,0.6445940135993311,0.9588430511296212,0.963916645261086,0.965840283089824,0.0474483827312983,0.1615932919996656,-0.748478629,0.4039594277759084,-0.700553722,0.6964508774367215,0.2539409481497596,0.9321056731034072,0.731021903,0.6505264597978924,-0.496950799,-0.08779322,0.7990079998454616,0.3131407096900984,0.006523572,-0.466641645,-0.537130099,0.7516824106140798,0.9069308237489752,0.015621142,0.5795023271248807,-0.857491735,-0.723243842,9,9,True,1.0,
-0.303755343,-0.212390168,-0.631490905,0.007204391,0.086977255,,0.6852436740963235,0.2999738018272451,-0.73665865,-0.753622456,-0.613613859,0.8570058164454983,-0.242828682,-0.480301041,0.4335734594853377,-0.97820252,0.695571854,0.6352378030785943,-0.292780009,0.9716916331709786,0.4731427110300945,-0.960159203,0.4144711868608097,-0.142685526,0.2519113385817295,-0.747272339,0.8940214933549688,0.5895830910506326,0.7502956372619698,0.5670830583998199,0.3282886834290921,0.7444243295071709,-0.058456879,-0.08504244,-0.213606362,0.9010259756594712,0.5671505244716415,9,9,True,2.0,
-0.857769794,0.8556068782676665,-0.308526622,0.5306824068003304,-0.338428462,,-0.5744971,-0.27313695,0.8878172504863979,-0.609941988,-0.418481984,-0.109107444,-0.521052166,-0.842803207,0.5603522222208506,-0.450387344,0.6974739215955355,0.7684975952024953,0.2336185627742399,-0.886685382,-0.687548734,-0.261846554,0.4015195530184257,0.5887802942418197,-0.070354909,0.3718144661285016,0.7339768576620047,0.9356358933793736,0.6387205180814401,0.1246907429299084,0.3489277513338216,-0.298313632,-0.642837849,-0.93795356,-0.84644934,-0.569705766,-0.945359227,5,9,True,3.0,
-0.507737932,0.1978421590132622,0.841662226,-0.838316093,-0.111826028,,0.2454471067368167,0.4864184074968509,0.8448214384424011,0.5700084124280074,0.2267639249208977,0.4509877321023894,-0.529598814,-0.577606523,-0.640838047,-0.76634081,-0.977899787,-0.373785484,0.2659159489392642,0.2461614428515037,0.6745327601917981,-0.491369247,-0.314803584,0.3817502477006425,-0.059548762,0.4014284917820467,0.2409008568273964,-0.373717283,-0.743388792,-0.244853153,0.3365246737295493,-0.796537987,-0.842176659,-0.702180025,0.3688015109455196,0.6524749314505849,0.5002798823789454,7,9,True,4.0,
-0.345886154,0.037204133,0.6044601826951497,0.6934402181462813,-0.319441519,,-0.06827824,-0.058095729,-0.654125696,-0.590920908,0.4639944419293971,0.1212130532933084,0.663719159,0.2050462696005413,0.6842625353531062,-0.751232022,0.937424072,0.5334123559670849,-0.039351047,-0.91671474,0.5233104593870412,-0.329745428,-0.910295346,-0.165160432,0.1288696398635909,-0.815922453,-0.724392409,-0.805324702,-0.701033595,0.2590803252881577,-0.005397309,0.3337714348459046,0.7605615925737594,0.423607456294313,-0.487037674,-0.229574722,-0.944401798,7,9,True,5.0,
0.2859760179376351,-0.102033808,-0.215618406,-0.629894962,-0.701402994,,0.1978365205657577,-0.916323655,-0.971072371,-0.154920281,0.076327002,0.5300234081417927,-0.445152217,0.2040367507160305,-0.603730742,0.8121014730367535,-0.377953172,-0.563191091,-0.578295395,0.2080720236033486,-0.739921931,0.8721234440501746,-0.32193276,0.7228878908050045,-0.518214888,-0.640819953,-0.038902296,-0.184940669,0.6491204487337217,0.8166509200750922,0.5208165271727134,-0.961492091,-0.24475143,0.8995784308833166,-0.841437952,-0.26887369,-0.081544804,9,9,True,6.0,
0.5005159545528661,0.202095686329494,0.6401491832195885,-0.657593054,0.9841413755515668,,-0.923151042,-0.459098626,-0.292774762,-0.914373965,-0.147851,-0.093980516,-0.261676864,0.8938601326014775,-0.673511635,-0.234992263,-0.882847583,0.7596498385513359,-0.231137449,0.0164061144196736,0.3822722310401616,-0.665837921,-0.615355511,0.536553855,0.002148956,0.2676216956052908,-0.027072227,-0.381303802,0.4310985748243174,0.3729728704361172,-0.838096722,-0.064546952,0.085399401,-0.640937958,-0.026165853,0.445647046828014,-0.279868325,7,9,True,7.0,
0.7021499385293191,-0.462273649,0.6095934705257364,0.8624549884544739,0.461165386,,0.2980846877725946,0.9928391991798696,0.5154798511537422,0.6265573365826005,0.6165412254801415,0.027321929,0.1753693995560281,-0.823633898,0.410447328,0.9483227376030814,0.6519291371541356,0.7013505554382937,-0.834806289,-0.911685428,-0.145882124,-0.941609342,-0.237854913,0.5622862601479897,0.7700792127566984,0.5425572134231245,0.006396787,-0.406657851,-0.86472985,0.5563519587575945,-0.7616737,0.9816622271990836,-0.138381376,0.4629078268168967,0.9327801234178724,0.9546280636963864,0.8835710806296895,7,9,True,8.0,
0.7809161275170529,0.4107684148323107,0.1637770090615395,-0.005001398,0.052363106,,0.2103623917929553,0.2866465324513498,-0.968718395,0.5194004660726219,-0.622226731,0.4422187863967259,0.921221894,-0.216604318,0.5553739110436196,-0.653833733,0.7451570417880617,-0.971602723,0.5704262989351023,0.3013170525660573,-0.910232619,-0.679717811,-0.876426175,0.4315415320511899,-0.84175303,0.1501019370310832,0.6791834123988121,0.1014945308044108,-0.404927343,0.5314615567797363,0.1128215457550645,0.093904639,-0.999419302,0.7048898471519038,0.3887097083289097,0.5886148218759528,-0.339695869,9,9,True,9.0,
0.4549042721207454,0.0247005310521486,0.3278424142216258,0.624084747,-0.936003922,,0.1101885377735421,0.091931737,0.3931057743833679,-0.361442622,0.6384883411826583,-0.103198783,-0.681539012,0.1544570684902271,0.5990935708032072,0.4684776885884192,-0.758640442,-0.892799803,-0.128009304,-0.308536931,0.9887780331525002,0.6780936725300735,0.00010691,-0.238968625,0.2991136444241733,0.1518522961825081,-0.80139279,0.1001845345101135,0.354927255883481,-0.174059202,-0.295012974,0.0369058891788429,-0.940366615,0.4037735433308946,-0.463872004,-0.884654235,0.639862265,7,9,True,10.0,
